,name,priceOld,priceNew,warranty,card,cpu,ram_size,ram_type,hard_driver,touch_screen,panel,screen_size,resolution,os,size,weight
27,Laptop Asus Vivobook Flip 14 TP470EA EC346W - Cũ Trầy Xước,16.590.000đ,5.990.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel UHD Graphics,Intel Core i3-1115G4,4GB,LPDDR4X 3200MHz Onboard,512GB SSD M.2 NVMe™ PCIe® 3.0,Có,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),Windows 10 Home SL,32.40 x 22.00 x 1.87 (cm),1.5 kg
28,Laptop Lenovo IdeaPad Gaming 3 15ACH6 82K201BBVN - Cũ Trầy Xước,20.990.000đ,11.090.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",NVIDIA GeForce GTX 1650 4GB GDDR6,AMD Ryzen 5 5600H,8GB,DDR4 Bus 3200,512GB SSD M.2 2242 PCIe,,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home,359.6 x 251.9 x 24.2 mm,2.25 kg
29,Laptop Gaming MSI Stealth 15M A11UEK 009 - Cũ Đẹp,,-.500.000đ,Giá sản phẩm đã bao gồm VAT,NVIDIA GeForce RTX 3060 Max-Q 6GB,Intel Core i7-11375H,16GB,DDR4 3200MHz,512GB NVMe SSD,Không,,15.6 inches,1920 x 1080 pixels (FullHD),Windows 10 Home,358.14 X 248.04 x 16 mm,1.69kg
30,Laptop Asus Vivobook Slate OLED T3304GA-LQ021WS - Cũ Đẹp,19.990.000đ,9.890.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel® UHD Graphics,"Intel® Core™ i3-N300 Processor 0.8 GHz (6MB Cache, up to 3.8 GHz, 8 cores, 8 Threads)",8GB,8GB LPDDR5,256GB UFS 2.1,Có,Tấm nền OLED/AMOLED,13.3 inches,1920 x 1080 pixels (FullHD),Windows 11 Home,30.99 x 19.00 x 0.89 ~ 0.89 cm,0.82 kg
31,Laptop Dell Inspiron 14 5430 N5430I58W1 - Cũ Đẹp,,14.490.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,Intel Core i5 1335U,8GB,LPDDR5 4800Mhz,512GB M.2 PCIe NVMe SSD,Không,Tấm nền WVA,14 inches,1080 x 1920 pixels (FullHD),Windows 11 Home + Office Home and Student 2021,,1.53 kg
32,Laptop Lenovo Ideapad S145-15IIL 81W80021VN - Cũ Xước Cấn,,5.590.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel UHD Graphics,Intel Core i5 Ice Lake - 1035G1,12GB,DDR4 2666 MHz (Onboard 4 GB + 1 khe 4 GB),512 GB SSD NVMe PCIeHỗ trợ khe cắm HDD SATA,Không,Tấm nền TN,15.6 inches,1920 x 1080 pixels (FullHD),Windows 10 Home SL,358 x 245 x 17.9 mm,1.79 kg
33,Laptop Dell Inspiron 5593 N5I5513W - Cũ Trầy Xước,,7.290.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",NVIDIA GeForce MX230 2 GB,Intel Core i5 Ice Lake - 1035G1,8GB,DDR4  2666 MHz,256 GB SSD NVMe PCIeHỗ trợ khe cắm HDD SATA,Không,,15.6 inches,1920 x 1080 pixels (FullHD),Windows 10 Home SL,363.96 x 249 x 19.90 mm,2.05 kg
34,Laptop HP 14S-FQ1080AU 4K0Z7PA - Cũ trầy xước,12.490.000đ,6.090.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",AMD Radeon Vega Graphics,"AMD Ryzen 3 5300U (2.60GHz up to 3.80GHz, 6MB Cache)",4GB,"DDR4-3200Mhz, 2 khe cắm hỗ trợ tối đa 16GB",256GB PCIe NVMe SSD,Không,,14 inches,1366 x 768 pixels (HD+),Windows 10 Home SL,,1.47kg
35,Surface Laptop Go Core i5 / 8GB / 128 GB / 12.4 inch - Cũ trầy xước,17.200.000đ,9.390.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel UHD Graphics,10th Gen Intel Core i5 processor – 1035G1,8GB,LPDDR4x,SSD: 128GB,Có,Tấm nền IPS,12.4 inches,1536 x 1024 pixels,Windows 10 Home in S mode,278.18 mm x 205.67 mm x 15.69 mm,"1,110 g"
36,Laptop Dell XPS 13 9305 - Cũ Trầy Xước,,14.790.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,"Intel Core i5 1135G7, 4 nhân, 8 luồng",8GB,8GB LPDDR4X 4266MHz (Nâng cấp tối đa 8GB),SSD 256GB M.2 1,,Tấm nền IPS,13.3 inches,1920 x 1080 pixels (FullHD),Windows 10 Home,301.76 x 199.24 x 11.63 mm (Dài x Rộng x Dày),1.29 kg
37,Laptop MSI Modern 14 B5M 204VN - Cũ Đẹp,17.990.000đ,7.890.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",AMD Radeon Graphics,AMD Ryzen 5 5500U,8GB,"DDR4 8GB (1 x 8GB) 3200MHz; 1 slots, up to 32GB",512GB SSD NVMe M.2 PCIe Gen 3 x4,,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),Windows 11 SL 64 Bit,356.8 x 233.75 x 18.9 mm,1.3Kg
38,Laptop Dell Inspiron 3501 P90F005N3501B - Cũ Trầy Xước,,7.890.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,Intel Core i5 Tiger Lake - 1135G7,4GB,DDR4 (2 khe) Tốc độ Bus RAM:  2666 MHz,512 GB SSD NVMe PCIe,Không,Tấm nền WVA,15.6 inches,1920 x 1080 pixels (FullHD),Windows 10 Home SL,Dài 363.96 mm - Rộng 249 mm - Dày 19.9 mm,1.96 kg
