,name,priceOld,priceNew,warranty,card,cpu,ram_size,ram_type,hard_driver,touch_screen,panel,screen_size,resolution,os,size,weight
107,Laptop Asus VivoBook S 14 Flip TP3402VA-LZ031W - Đã Kích Hoạt,21.990.000đ,15.590.000đ,"Bảo hành 12 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. (xem chi tiết)",Intel UHD Graphics,"Intel Core i5-13500H (2.6 GHz, 18MB Cache, up to 4.7 GHz, 12 lõi / 16 luồng)",16GB,DDR4,512GB M.2 NVMe PCIe 3.0 SSD,Có,Tấm nền IPS,14 inches,1920 x 1200 pixels (WUXGA),Windows 11 Home,31.32 x 22.76 x 1.89 ~ 1.89 cm (W x H x D),1.50 kg
108,Surface Pro 7 Core i5 / 8GB / 256GB Chính Hãng Cũ trầy xước,29.990.000đ,11.090.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel® Iris® Plus Graphics,10th Gen Intel® Core™ i5-1035G4,,,256GB BGA PCIe SSD,,,12.3 inches,2736 x 1824 pixels,Windows 10 Home,292 mm x 201 mm x 8.5 mm,776 g
109,Laptop HP Envy 13-BA1536TU 4U6M5PA - Cũ Đẹp,23.990.000đ,12.890.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Card tích hợp - Intel Iris Xe Graphics,"Intel Core i5 Tiger Lake - 1135G7, 4 nhân, 8 luồng,  8 MB, 2.40 GHz up to 4.2 GHz",8GB,"DDR4 (On board), 2933 MHz",512 GB SSD NVMe PCIe,Không,Tấm nền IPS,13.3 inches,1920 x 1080 pixels (FullHD),Windows 10 Home SL,306.5 x 194.6 x 16.9 mm (Dài x Rộng x Dày),1.3 kg
110,Laptop HP Pavilion 15-EG2062TU 6K790PA - Cũ Trầy Xước,,7.490.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,Intel® Core™ i3-1215U Processor,8GB,8GB DDR4 3200MHz (2 x 4GB),256GB SSD PCIe® NVMe™ M.2,,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home,36.02 x 23.4 x 1.79 cm,1.75 kg
111,Laptop ASUS VivoBook X1502ZA-BQ127W - Đã Kích Hoạt,16.500.000đ,10.890.000đ,"Bảo hành 12 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. (xem chi tiết)",Intel Iris Xe Graphics,Intel Core i5-1240P,8GB,DDR4,512GB M.2 NVMe™ PCIe® 3.0 SSD,,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home SL,35.97 x 23.25 x 1.99 ~ 1.99 cm,1.7 kg
112,Laptop Asus Vivobook 14 X1402ZA-EK084W - Cũ Trầy Xước,17.690.000đ,8.790.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,"Intel Core i5-1240P 1.7 GHz (12M Cache, up to 4.4 GHz, 4P + 8E cores)",8GB,DDR4 Onboard,256GB M.2 NVMe PCIe 3.0 SSD,Không,,14 inches,1920 x 1080 pixels (FullHD),Windows 11 Home,32.49 x 21.39 x 1.99 ~ 1.99 cm (W x H x D),1.50 kg
113,Laptop Asus Vivobook 15X A1503ZA-L1139W - Cũ Đẹp,,12.190.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel UHD Graphics,Intel Core I5- 12500H,8GB,"DDR4, 3200 MHz",512GB SSD NVMe M.2 PCIe Gen 3 x 4,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home,356.8 x 227.6 x 19.9 mm,1.7 kg
114,Laptop HP Gaming VICTUS 16-D0202TX 4R0U4PA - Cũ Trầy Xước,,15.990.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)","NVIDIA GeForce RTX 3050Ti, 4 GB",Intel Core i5 Tiger Lake - 11400H,8GB,DDR4  3200 MHz,512 GB SSD NVMe PCIeIntel Optane 32 GB (H10)Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)Không hỗ trợ khe cắm HDD,Không,Tấm nền IPS,16.1 inches,1920 x 1080 pixels (FullHD),Windows 11 Home SL,370 x 260 x 23.5 mm,2.46 kg
115,Surface Laptop Go 12.4 THH-00035 - Cũ Trầy Xước,16.000.000đ,9.390.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel UHD Graphics,10th Gen Intel Core i5 processor – 1035G1,8GB,LPDDR4x,128GB,Có,Tấm nền IPS,12.4 inches,1536 x 1024 pixels,Windows 10 Home in S mode,278.18 mm x 205.67 mm x 15.69 mm,"1,110 g"
116,Laptop HP Pavilion 14-DV0535TU 4P5G4PA - Cũ Đẹp,,9.490.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,Intel Core i5 Tiger Lake - 1135G7,32GB,DDR4 3200 MHz,512 GB SSD NVMe PCIe Intel Optane 32 GB (H10),Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),Windows 10 Home SL,325 x 216.6 x 17 mm,1.41 kg
117,Laptop Lenovo Yoga Slim 7I Carbon 13ITL5 - Cũ Đẹp,26.990.000đ,17.690.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,"Intel® Core™ I5-1135G7, tối đa 4.20GHz, 4 cores 8 threads, 8MB Cache",16GB,16GB LPDDR4X (On board) 4266 MHz,512GB M.2 PCIe NVMe SSD,Không,Tấm nền IPS,13.3 inches,2560 x 1600 pixels (2K),Windows 10 Home SL,295.88mm x 208.85mm x 14.25 ~15mm,966 g
118,Laptop Dell Vostro 3400 V4I7015W - Cũ Xước Cấn,26.990.000đ,10.890.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)","Card rời - NVIDIA GeForce MX330, 2 GB",Intel Core i7 Tiger Lake - 1165G7,8GB,"DDR4 3200 MHz, 2 khe hỗ trợ RAM tối đa 16 GB",SSD 512 GB NVMe PCIeHỗ trợ khe cắm HDD SATA,Không,Tấm nền VA,14 inches,1080 x 1920 pixels (FullHD),Windows 10 Home SL,328.7 x 239.5 x 19.9 mm,1.64 kg
119,Surface Pro 8 Core i7 / 16GB / 1TB - Cũ Trầy Xước,43.500.000đ,29.490.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,4 nhân Intel thế hệ 11 Core i7 chuẩn Intel Evo,16GB,LPDDR4x,1TB,Có,Tấm nền IPS,13 inches,2880 x 1920 pixels,Windows 11 Home SL,287mm x 208mm x 9.3mm,891 g
120,Laptop ASUS ZenBook UM5302TA-LX087W - Đã Kích Hoạt,29.990.000đ,19.890.000đ,"Bảo hành 12 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. (xem chi tiết)",AMD Radeon Graphics,AMD Ryzen 5 6600U Mobile (6 nhân 12 luồng),8GB,Onboard LPDDR5,512GB M.2 NVMe™ PCIe® 4.0,Không,Tấm nền OLED/AMOLED,13.3 inches,2880 x 1800 pixels,Windows 11 Home SL,29.67 x 21.05 x 1.49 ~ 1.49 cm,1.10 kg
121,Laptop Lenovo ThinkBook 13s G3 ACN 20YA0038VN - Cũ Đẹp,21.990.000đ,9.890.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",AMD Radeon Graphics,AMD Ryzen 5 5600U,8GB,LPDDR4x-4266,256GB SSD M.2 2242 PCIe 3.0x4 NVMe,Không,Tấm nền IPS,13.3 inches,1920 x 1200 pixels (FullHD+),Windows 11 Home SL,299 x 210 x 14.9 mm,1.26 kg
122,Laptop MSI Modern 15 B13M-438VN - Cũ Trầy Xước,18.490.000đ,10.290.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel UHD,"i5 1335U (12MB Cache, up to 4.6.0 GHz, 10 lõi / luồng)",8GB,DDR4 3200 MHz,512GB M2. PCIe,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home,359 x 241 x 19.9 mm (Dài x Rộng X Cao),1.7 kg
123,Laptop Dell Inspiron 15 3520 WTPRT - Đã Kích Hoạt,14.990.000đ,10.590.000đ,Có bộ sạc,Intel UHD Graphics,"Intel Core i5 1135G7 (4.2 GHz, 4 lõi / 8 luồng, 8 MB)",8GB,DDR4 3200 MHz,256GB SSD (M2) PCI-E Gen 4.0 (4x),Có,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11,358.5 x 234.9 x 15.52-19.59 mm,1.63 kg
124,Laptop LG Gram 2023 16Z90R-E.AH75A5 - Đã Kích Hoạt,49.990.000đ,32.790.000đ,"Bảo hành 12 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. (xem chi tiết)",Nvidia RTX3050 4GB,"Intel Core i7-1360P 2.2 GHz (up to 5.0 GHz, 18MB, 12 lõi/luồng)",16GB,LPDDR5 6000MHz,512GB SSD NVMe Gen 4 (1 khe cắm SSD M.2 trống),Không,Tấm nền IPS,16 inches,2560 x 1600 (WQXGA),Windows 11 Home,31.2 x 21.39 x 1.68 cm (Dài x Rộng x Cao),1.299 kg
125,Laptop Dell Vostro 3420 P152G003 - Cũ Đẹp,,14.290.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",NVIDIA GeForce MX550 2GB GDDR6,Intel Core i7 - 1255U,8GB,DDR4 3200 MHz,512GB SSD M.2 NVMe PCIe,Không,Tấm nền WVA,14 inches,1920 x 1080 pixels (FullHD),Windows 11 Home + Office Student,321.27 x 220.26 x 19.48 mm,"1,49 kg"
126,Laptop ASUS Zenbook 14 Flip OLED UP5401ZA-KN101W - Cũ Trầy Xước,33.990.000đ,21.090.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xᵉ Graphics,Intel® Core™ i7-12700H Processor 2.3 GHz,16GB,LPDDR5,512GB SSD,Có,Tấm nền OLED/AMOLED,14 inches,2880 x 1800 pixels,Windows 11,31.10 x 22.30 x 1.59 ~ 1.59 cm,1.40 kg
127,Laptop HP Envy X360 13M-BD10033DX - Cũ Đẹp,27.990.000đ,15.590.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel® Iris® Xᵉ Graphics,"Intel® Core™ i7-1165G7 (up to 4.7 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 4 nhân)",8GB,8 GB DDR4-3200 MHz,512 GB PCIe® NVMe™ M.2 SSD,Có,Tấm nền VA,13.3 inches,1920 x 1080 pixels (FullHD),Windows 10,30.65 x 19.46 x 1.64 cm,1.32 kg
128,Laptop HP Envy x360 Convertible 13 AY1056 601Q8PA - Cũ Đẹp,28.300.000đ,16.390.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)","Card tích hợp, AMD Radeon Graphics","AMD Ryzen 7 - 5800U, 1.9GHz",8GB,"8 GB DDR4 (On board), 3200 MHzKhông hỗ trợ nâng cấp",256 GB SSD NVMe PCIe,Có,Tấm nền IPS,13.3 inches,1920 x 1080 pixels (FullHD),Windows 11 Home SL,306.5 - 194.6 - 16.4 mm (Dài x Rộng x Dày),1.3 kg
129,Laptop Lenovo ThinkBook 14 G2 ITL 20VD00Y3VN - Cũ Xước Cấn,,10.590.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,Intel Core i7-1165G7,8GB,DDR4-3200,512GB SSD M.2 2242 PCIe 3.0x4 NVMe + 1 khay trống HDD,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),Windows 11 Home SL,323 x 218 x 17.9 mm,1.4 kg
130,Laptop Dell Inspiron 3501 P90F005DBL - Cũ Đẹp,14.990.000đ,7.590.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel UHD Graphics,"Intel Core I3-1125G4, 4 nhân 8 luồng, tối đa 4.10GHz, 6MB bộ nhớ đệm",4GB,"DDR4 2666MHz, 2 khe cắm, hỗ trợ tối đa 16GB",256GB SSD M.2 PCle Gen3 x4 NVMe,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Windows 10 Home SL,363.96 mm x 249 mm x 18 mm - 19.90 mm,1.91 kg
131,Laptop Lenovo Thinkpad L13 Yoga Gen 3 21B6S04700 - Cũ Đẹp,,13.290.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,Core i5 Alder Lake 	1235U,8GB,DDR4 3200MHz,256GB SSD M.2 NVMe PCIe 2242,,Tấm nền IPS,13.3 inches,1920 x 1200 pixels (WUXGA),NoOS,305 x 218 x 17.3 mm,1.26Kg
132,Laptop Acer Aspire 3 A315-58-53S6 NX.AM0SV.005 - Đã Kích Hoạt,15.990.000đ,8.690.000đ,"Bảo hành 12 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. (xem chi tiết)",Intel Iris Xe Graphics,Intel Core i5-1135G7,8GB,"DDR4, tốc độ bus 2400Mhz",256GB PCIe NVMe SSD (nâng cấp tối đa 2TB HDD và 1TBSSD PCIe NVMe),Không,Tấm nền TFT,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home SL,363.4 (W) x 238.4 (D) x 19.9 (H) mm,1.7 kg
133,Laptop Acer Aspire 5 A514-54-511G NX.A28SV.009 - Cũ Trầy Xước,,9.390.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,Intel Core i5 Tiger Lake - 1135G7,8GB,DDR4  3200 MHz,1 TB SSD M.2 PCIeHỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB),Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),Windows 11 Home SL,328 x 223 x 17.95 mm,1.46 kg
134,Laptop Acer Aspire 3 A315-58-54M5 - Cũ Trầy Xước,,7.890.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel UHD,Intel Core i5 - 1135G7,8GB,DDR4 2400 MHz,512 GB M.2 NVMe SSD,Không,Tấm nền TN,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home,363.4 x 247.5 x 19.9 mm,1.7 kg
135,Laptop Huawei Matebook D15 - Cũ Đẹp,15.990.000đ,8.790.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Đồ họa Intel Iris Xe,Intel Core i5-1135G7 thế hệ thứ 11,8GB,8 GB LPDDR4X,SSD NVMe PCIe 256 GB,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Windows 10 Home SL,357.8 x 229.9 x 16.9 mm,Khoảng 1.56 kg
136,Laptop Lenovo Thinkpad X13 GEN 2  - Cũ Đẹp,36.490.000đ,18.290.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,"Intel Core i7-1165G7 (up to 4.7Ghz, 12MB)",8GB,DDR4 4266Mhz,512GB SSD M.2 NVMe,Không,Tấm nền IPS,13.3 inches,2560 x 1600 pixels (2K),Free OS,305.8 x 217.06 x 18.19 mm,1.29 kg
137,Laptop HP Envy X360 13-BF0092TU 76V59PA - Cũ Đẹp,,19.490.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,Core i7 Alder Lake 1250U 3.5 GHz up to 4.7GHz,8GB,DDR4-3200MHz,512GB SSD M.2 NVMe PCIe,Có,Tấm nền Oled,13.3 inches,2880 x 1800 pixels,Windows 11 Home,306 x 204 x 15.9 mm,1.32 kg
138,Laptop HP Pavilion 15-EG0541TU 4P5G8PA - Cũ Trầy Xước,16.990.000đ,8.090.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel® UHD Graphics,"Intel® Core™ i3-1125G4, 2.00GHz up to 3.70GHz, 4 nhân 8 luồng",4GB,"DDR4 3200MHz, 2 khe cắm tối đa 32GB",512GB SSD PCIe® NVMe™ M.2,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home SL,360.2 x 234 x 17.9 mm,1.682 kg
139,Laptop HP Pavilion X360 14-DY0168TU 4Y1D3PA - Cũ Đẹp,23.990.000đ,13.990.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,Intel Core i7-1165G7,8GB,DDR4,512GB SSD,Có,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),Windows 11 Home 64-bit,32.2 x 20.9 x 2.06 cm,1.543 kg
140,Laptop Lenovo Ideapad 3 15ITL6 82H801P9VN - Cũ Đẹp,,8.790.000đ,Có bộ sạc,Intel Iris Xe Graphics,Intel Core i5 Tiger Lake - 1135G7,8GB,DDR4 3200 MHz,512GB SSD NVMe PCIe,Không,Tấm nền TN,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home SL,359.2 x 236.5 x 19.9 mm,1.65 kg
141,Laptop Dell Vostro 5502 NT0X01 - Cũ Trầy Xước,22.590.000đ,11.190.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",VGA NVIDIA GeForce MX330 2GB GDDR5,Intel® Core™ i5-1135G7 2.40GHz up to 4.20GHz4 nhân 8 luồng,8GB,"DDR4 3200MHz, 2 khe cắm, hỗ trợ tối đa 32GB",512GB M.2 PCIe NVMe SSD,Có,,15.6 inches,1080 x 1920 pixels (FullHD),Windows 10 Home SL,365 x 234 x 14.5 mm,1.64 kg
142,Laptop Dell Inspiron 3501 70253898 - Cũ Trầy Xước,24.590.000đ,12.090.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",NVIDIA GEFORCE MX330 2GB GDDR5,Intel Core i7-1165G7 1.2GHz up to 4.7GHz 12MB,8GB,"DDR4 3200MHz, 2 khe cắm tối đa 16GB",512GB SSD M.2 PCIE,Không,Tấm nền VA,15.6 inches,1920 x 1080 pixels (FullHD),Windows 10 Home SL,363.96 x 249 x 19.9 mm,1.96 kg
143,Laptop Lenovo Ideapad 3I 82RJ005BUS - Cũ Đẹp,16.990.000đ,8.690.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel UHD Graphics,Intel Core I5-1235U,8GB,,256GB SSD,Không,,14 inches,1920 x 1080 pixels (FullHD),,,
144,Laptop MSI Modern 14 B11MOU-1032VN - Cũ Đẹp,21.900.000đ,9.990.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,Core i7 1195G7 – Tiger Lake,8GB,DDR4 3200Mhz,512GB NVMe PCIe SSD Gen 3x4,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),Windows 11 Home SL,319 x 219 x 16.9 mm,1.3 kg
145,Laptop Asus VivoBook 15X OLED S3504VA-L1226W - Cũ Trầy Xước,21.990.000đ,12.990.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,"Intel Core i5-1340P (12MB Cache, 1.9 GHz up to 4.6 GHz, 12 lõi / 16 luồng)",16GB,DDR4,512GB M.2 NVMe PCIe 4.0 SSD,Không,Tấm nền OLED/AMOLED,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home,35.97 x 23.25 x 1.79 ~ 1.79 cm (W x H x D),1.70 kg
146,Laptop Asus Vivobook M513UA-EJ704W - Cũ Trầy Xước,,8.790.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",AMD Radeon Graphics,Ryzen 7 - 5700U,8GB,DDR4,512GB SSD,Không,Tấm nền TN,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home,35.98 x 23.53 x 1.86 ~ 1.86 cm,1.8 kg
147,Laptop ASUS VivoBook 15X A1503ZA-L1422W - Cũ Trầy Xước,18.400.000đ,11.390.000đ,Bộ sạc,Intel Iris Xe Graphics,Intel Core i5-12500H,8GB,DDR4,512GB M.2 NVMe™ PCIe® 3.0 SSD,Không,Tấm nền OLED/AMOLED,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home SL,35.68 x 22.76 x 1.99,1.7kg
148,Laptop Asus Zenbook 14 Flip OLED UP3404VA-KN039W - Cũ Đẹp,33.990.000đ,21.690.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,"Intel Core i7 - 1360P 2.2 GHz (18MB Cache, up to 5.0 GHz, 12 lõi / 16 luồng)",16GB,LPDDR5 On board,512GB M.2 NVMe PCIe 4.0 SSD,Có,Tấm nền OLED/AMOLED,14 inches,2880 x 1800 pixels,Windows 11 Home,31.15 x 22.34 x 1.59 ~ 1.59 cm (W x H x D),1.50 kg
149,Laptop Asus Zenbook 14 UX3402ZA KM218W - Cũ Đẹp,23.900.000đ,14.390.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel® Iris Xe Graphics,"Intel Core™ i5-1240P 1.7 GHz (12M Cache, up to 4.4 GHz, 4P + 8E cores)  Intel® Evo™ Platform",8GB,8GB LPDDR5 on board,512GB M.2 NVMe™ PCIe® 3.0 SSD,,Tấm nền OLED/AMOLED,14 inches,2880 x 1800 pixels,Windows 11 Home - ASUS đề xuất Windows 11 Pro cho doanh nghiệp,31.36 x 22.06 x 1.69 ~ 1.69 cm (W x H x D),1.39 kg
150,Laptop Asus VivoBook 15X OLED S3504VA-L1226W - Cũ Đẹp,21.990.000đ,13.590.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,"Intel Core i5-1340P (12MB Cache, 1.9 GHz up to 4.6 GHz, 12 lõi / 16 luồng)",16GB,DDR4,512GB M.2 NVMe PCIe 4.0 SSD,Không,Tấm nền OLED/AMOLED,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home,35.97 x 23.25 x 1.79 ~ 1.79 cm (W x H x D),1.70 kg
151,Laptop ASUS ZenBook UX371EA-HL725WS - Đã kích hoạt,41.990.000đ,22.490.000đ,Bảo hành 12 tháng chính hãng. (xem chi tiết),Intel Iris Xe Graphics,"Intel Core i7-1165G7 2.8GHz up to 4.7GHz 12MB, 4 nhân 8 luồng",16GB,"LPDDR4x 4266MHz, không hỗ trợ nâng cấp",1TB M.2 PCIe® NVMe™ 3.0 x4,Có,Tấm nền OLED/AMOLED,13.3 inches,3840 x 2160 pixels,Windows 11 Home SL,30.5 x 21.1 x 1.39 cm,1.2 kg
